dir,key,clue
size,0,6
shape,0,ddabcdffdddfacefedddedffeffeddfacfff
letters,0,643521564132321645415263132456256314
prods,0,30_24_30___2___40_6_72__6_____15_8_3__24_______5_24__30____
size,1,6
shape,1,dacacdfddddfdfefededfdffffdeddacffff
letters,1,312456645231564312136524251643423165
prods,1,18_2__20__6__24_120_6_6__10_____8__15__30_____3__24_15_8_____
size,2,6
shape,2,ddacddffddefddefedfefdefdedffdfffacf
letters,2,412536126453341265654312563124235641
prods,2,4_2_10__180_18___24_8___18_360____10____3___10__15___4____24__
size,3,6
shape,3,acddddddefffeffdddfddeffdfffddfabcff
letters,3,251436532641165324346512624153413265
prods,3,10__10_24_12_6_15_18________15_2_8__8_24____24____30_15__6____
size,4,6
shape,4,dddacdffeddeaceffeddfacfefabcdfacacf
letters,4,635124216345341652523416462531154263
prods,4,12_3_90_2__240____18_20__12______20_12__4_____30___3__20__12__
size,5,6
shape,5,dabcddedacffffdacdaceddfddeffdfffacf
letters,5,241563362451516234134625653142425316
prods,5,30_20___30_3__6_8______360_6__20_3___6_8__24_10____12____3__
size,6,6
shape,6,abbbcddacacefddddedffffffacdddabcfff
letters,6,216345564132452613135264321456643521
prods,6,144_____120_20_24__3____15_10_12_6__3_______2__20_10_6_72_____
size,7,6
shape,7,acacdddacdeffddffddefaceffabceabcacf
letters,7,451362526134362541234615143256615423
prods,7,20__3__72_8_15_12__5____72_8___90_2___6_____30____30___8__
size,8,6
shape,8,acabcddddacffefddddedffeeffacefabbcf
letters,8,542316135624361542624153213465456231
prods,8,20__6___24_3_36_5_12______5_20_30_48__12_______24____180____
size,9,6
shape,9,ddabcdffdddeddefffeffacdfabbceacabcf
letters,9,354621412536526143643215261354135462
prods,9,12_5_48___18___36_5_12__60_8________2__40__90_____3__120___
size,10,6
shape,10,dacacdedacdfffddedddefffeffdddfacfff
letters,10,652134543261426315165423231546314652
prods,10,120_10__3__4__8_6__12____30_12__15_6_18________30_20_12__4____
size,11,6
shape,11,dddacdeffddffacffddddacfeffdddfacfff
letters,11,156243463152241365632514524631315426
prods,11,8_30_18_8__6____3_30___4____20_90_6_8_5______24_6_6__5____
size,12,6
shape,12,dabcddedddffeffeddeddfffeffacdfabbcf
letters,12,234651415326126435653142362514541263
prods,12,720_72___10_6__2_30_12_______12_10__30_6_______5__12__48____
size,13,6
shape,13,dabcddedacffefddddfdfffedfabcefabbcf
letters,13,431256164325345612526431612543253164
prods,13,60_6___10_30__24_12______30_24_3_24__2_____12__40_____90____
size,14,6
shape,14,dabbcdfdabcfdedacdefeddfedffedffacff
letters,14,461235256314612453543621134562325146
prods,14,8_36____20__20_18____90__24_20__3____30_48___6____12___5___
size,15,6
shape,15,dabbcdfddacfdefdddefdfffedfacdffabcf
letters,15,563421625314246135312546431652154263
prods,15,30_144____4__8_30_3___24___5_12_30___2_____15__30__6___48___
size,16,6
shape,16,dddacdeffddeeacffefddacfdffdddfacfff
letters,16,624153213645536214352461145326461532
prods,16,180_2_12_5__60____12_4___18______20_10_24___4___15_6_12__6____
size,17,6
shape,17,acdacdddfddfefdefdfdffdfdfacfdfacacf
letters,17,421653253416135264346521612345564132
prods,17,8__3_30__18_6_15__40_6____30___4__4___8__30__6___10__24__3__
size,18,6
shape,18,acacdddabcfffdacdddeddefeffffdfabbcf
letters,18,142653421536234165356421615342563214
prods,18,4__12__15_18_8_10______15_4__48_5_90__30_12________8__36____
size,19,6
shape,19,acdacdddfddeffdfffddfacdefabcefacacf
letters,19,412635641253235146153462364521526314
prods,19,4__2_18__90_12_12__2_20____15____15_30__24__8___40_____12__3__
size,20,6
shape,20,abcacdddabcfefddddfdeffedffddefacfff
letters,20,124563463251245316531642356124612435
prods,20,8___30__3_40_24_30______30_18_4_240__15_____18___4_6___2____
size,21,6
shape,21,dacacdeddddfeffefdfddedfdefffdffabcf
letters,21,641532326154453261532416164325215643
prods,21,360_4__15__8__10_18_24_30_______6__18_8__2__2_____15___120___
size,22,6
shape,22,acabcddacacefdabcfdedacdfffddeabcfff
letters,22,643215365421251364132546514632426153
prods,22,24__6___20_6_30__8____15_18____5__8_20__36____6_15__48_____
size,23,6
shape,23,abcddddacffefdacdededdefffeffdacfacf
letters,23,163254241563326415512346654132435621
prods,23,18___10_30_360_6_4______10_24__12__30__40_3________2_12___12__
size,24,6
shape,24,abbbcddddacffefddddedfffeffdddfacfff
letters,24,246351513642124536365214432165651423
prods,24,720_____2_5_36_12_24______10_3_24_72__10_______4_12_15__5____
size,25,6
shape,25,dacacdedacdeffddffddffddefacfefacacf
letters,25,245361316542653214462153134625521436
prods,25,36_20__18__8__5_30__4____6_2___20_18___10_90___24_____2__12__
size,26,6
shape,26,abbbcdddabcfffdacdacfddfdddffdfffacf
letters,26,513264352416425631164325631542246153
prods,26,180_____24_12_10_8______20_18__5_6___15_8__12_12_6___6____5__
size,27,6
shape,27,acabcddacddffddffddefaceefabcefacacf
letters,27,561234624513453621346152215346132465
prods,27,30__6___12_24_8__30_2___20_18___60_6___5_____60_____6__24__
size,28,6
shape,28,abcacddabcdfedacedffddefddeffdfffacf
letters,28,426351314625261543653412532164145236
prods,28,48___15__5_36_24___48___30_5___6___30_4___5_12____24____6__
size,29,6
shape,29,dacacdfddddfdefefdffdedfddfffdffabcf
letters,29,612543451632524316346251163425235164
prods,29,24_2__20__6__40_4_144_3__15_____6___18__10__2_18____20___30___
size,30,6
shape,30,acdacdddfddfefdffdfdeacfdffdddfacfff
letters,30,431256356124642513523461165342214635
prods,30,12__6_10__24_90_20__5_2____30___3__12__24___2___18_12_10__4____
size,31,6
shape,31,abcacdddabcffedacddefddfffdffdacfacf
letters,31,632154145632463215521463314526256341
prods,31,36___5__8_4_48_90______3_2__15_15___20_12____24___6_10___12__
size,32,6
shape,32,acabcddddacfffedddddfeffffdeddacffff
letters,32,541263462351635124154632326415213546
prods,32,20__12___3_24_18_40_15______120_6_8_3_10_______18__4_30_2_____
size,33,6
shape,33,ddabcdfedacfdffdddfddeffdeffddffacff
letters,33,136254564321621435345612452163213546
prods,33,5_36_60___4___4_6___18___24_3_10__20_10____8____24_18___15___
size,34,6
shape,34,abbbcdddabcffedddddeffffefabcdfacacf
letters,34,516324654213431562263145125436342651
prods,34,180_____12_24_180_8______3_5_24_10_6________60___6__8__30__
size,35,6
shape,35,abbbcddddacfeffdddfddeffdeffddffacff
letters,35,423561312645531426146352265134654213
prods,35,720_____5_15_3_2_24______12_10_12__120_30____12____3_12___8___
size,36,6
shape,36,abcacddacddefddfffdefacdffabceabbbcf
letters,36,214563126354451236632145563421345612
prods,36,8___30__72_4_12__6_15___90_2____30___4__10___24____360_____
size,37,6
shape,37,acabcddddacffefddddedeffeffeddfacfff
letters,37,154632263514512463436125625341341256
prods,37,5__72___8_10_36_6_5______24_12_15_72__30________20_6__4____
size,38,6
shape,38,acddddddefffffeacdacfddedddffefffacf
letters,38,413265621354345126536412152643264531
prods,38,4__90_6_30_20_18_8________2__36_15___24_4__2_30_8_______15__
size,39,6
shape,39,abcddddacefeeddfdeeffdfffacfddacacff
letters,39,524361231546165234642153356412413625
